sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
169,Open Elective,CFOC132M,Corporate Social Responsibility,Online Course,1,0,0,0,0,2
170,Open Elective,CFOC133M,E-Business,Online Course,1,0,0,0,0,3
171,Open Elective,CFOC134M,"Innovation, Business Models and Entrepreneurship",Online Course,1,0,0,0,0,2
172,Open Elective,CFOC135M,The Ethical Corporation,Online Course,1,0,0,0,0,2
173,Open Elective,CFOC136M,Toyota Production System,Online Course,1,0,0,0,0,2
174,Open Elective,CFOC137M,Intellectual Property Rights and Competition Law,Online Course,1,0,0,0,0,2
175,Open Elective,CFOC138M,Patent Search for Engineers and Lawyers,Online Course,1,0,0,0,0,2
176,Open Elective,CFOC139M,Role of Craft and Technology in Interior - Architecture,Online Course,1,0,0,0,0,2
177,Open Elective,CFOC140M,Glass In Buildings : Design And Applications,Online Course,1,0,0,0,0,3
178,Open Elective,CFOC141M,Visual Perception and Art: A Survey Across the Cultures,Online Course,1,0,0,0,0,1
179,Open Elective,CFOC142M,Mapping Signal Processing Algorithms to Architectures,Online Course,1,0,0,0,0,3
180,Open Elective,CFOC143M,Introduction to Computer Vision,Online Course,1,0,0,0,0,3
181,Open Elective,CFOC144M,"Op-Amp Practical Applications: Design, Simulation and Implementation",Online Course,1,0,0,0,0,3
182,Open Elective,CFOC145M,Fabrication Techniques for MEMs - based sensors: clinical Perspective,Online Course,1,0,0,0,0,3
183,Open Elective,CFOC146M,Linear System Theory,Online Course,1,0,0,0,0,3
184,Open Elective,CFOC147M,Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink,Online Course,1,0,0,0,0,2
185,Open Elective,CFOC148M,Introduction to Wireless and Cellular Communications,Online Course,1,0,0,0,0,3
186,Open Elective,CFOC149M,Digital Switching - I,Online Course,1,0,0,0,0,2
187,Open Elective,CFOC150M,Microelectronics: Devices To Circuits,Online Course,1,0,0,0,0,3
188,Open Elective,CFOC151M,Digital Image Processing,Online Course,1,0,0,0,0,3
189,Open Elective,CFOC152M,Pattern Recognition and Application,Online Course,1,0,0,0,0,3
190,Open Elective,CFOC153M,Microwave Theory and Techniques,Online Course,1,0,0,0,0,3
191,Open Elective,CFOC154M,Principles and Techniques of Modern Radar Systems,Online Course,1,0,0,0,0,3
192,Open Elective,CFOC155M,Computational Electromagnetics,Online Course,1,0,0,0,0,3
193,Open Elective,CFOC156M,Microwave Engineering,Online Course,1,0,0,0,0,3
194,Open Elective,CFOC157M,Introduction to parallel Programming in Open MP,Online Course,1,0,0,0,0,1
195,Open Elective,CFOC158M,Reinforcement Learning,Online Course,1,0,0,0,0,3
196,Open Elective,CFOC159M,Applied Natural Language Processing,Online Course,1,0,0,0,0,3
197,Open Elective,CFOC160M,Python for Data Science,Online Course,1,0,0,0,0,1
198,Open Elective,CFOC161M,Data Science for Engineers,Online Course,1,0,0,0,0,2
199,Open Elective,CFOC162M,Scalable Data Science,Online Course,1,0,0,0,0,2
200,Open Elective,CFOC163M,Advanced Computer Architecture,Online Course,1,0,0,0,0,2
201,Open Elective,CFOC164M,Software Project Management,Online Course,1,0,0,0,0,3
202,Open Elective,CFOC165M,Software testing,Online Course,1,0,0,0,0,3
203,Open Elective,CFOC166M,Hardware Modeling using Verilog,Online Course,1,0,0,0,0,2
204,Open Elective,CFOC167M,Synthesis of Digital Systems,Online Course,1,0,0,0,0,3
205,Open Elective,CFOC168M,Switching Circuits and Logic Design,Online Course,1,0,0,0,0,3
206,Open Elective,CFOC169M,Demystifying networking,Online Course,1,0,0,0,0,1
207,Open Elective,CFOC170M,Modern Algebra,Online Course,1,0,0,0,0,2
208,Open Elective,CFOC171M,Introduction to Haskell Programming    2,Online Course,1,0,0,0,0,2
209,Open Elective,CFOC172M,Flow through Porous Media,Online Course,1,0,0,0,0,3
210,Open Elective,CFOC173M,Bioenergy,Online Course,1,0,0,0,0,2
211,Open Elective,CFOC174M,Introduction to Biostatistics,Online Course,1,0,0,0,0,2
