sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
117,Discipline Elective,BCSE417P,Machine Vision Lab,Lab Only,1,0,0,2,0,1
118,Discipline Elective,BCSE418L,Explainable Artificial Intelligence,Theory Only,1.1,2,0,0,0,2
119,Discipline Elective,BCSE419L,Speech and Language Processing,Theory Only,1,3,0,0,0,3
120,Discipline Elective,BCSE419P,Speech and Language Processing lab,Lab Only,1,0,0,2,0,1
121,Discipline Elective,BCSE420L,"Sensors, Actuators and Signal Conditioning",Theory Only,1,2,0,0,0,2
122,Discipline Elective,BCSE420P,"Sensors, Actuators and Signal Conditioning Lab",Lab Only,1,0,0,2,0,1
123,Discipline Elective,BCSE421L,"Robotics: Kinematics, Dynamics and Motion Control",Theory Only,1,3,0,0,0,3
124,Discipline Elective,BCSE422L,Robot Modeling and Simulation,Theory Only,1,2,0,0,0,2
125,Discipline Elective,BCSE422P,Robot Modeling and Simulation Lab,Lab Only,1,0,0,2,0,1
126,Discipline Elective,BCSE423L,Robot Programming,Theory Only,1,2,0,0,0,2
127,Discipline Elective,BCSE423P,Robot Programming Lab,Lab Only,1,0,0,2,0,1
128,Discipline Elective,BCSE424L,Machine Learning for Robotics,Theory Only,1,2,0,0,0,2
129,Discipline Elective,BCSE424P,Machine Learning for Robotics Lab,Lab Only,1,0,0,2,0,1
130,Discipline Elective,BCSE425L,Robotic Perception,Theory Only,1,3,0,0,0,3
131,Discipline Elective,BCSE425P,Robotic Perception Lab,Lab Only,1,0,0,2,0,1
132,Discipline Elective,BCSE426L,Robotic Process Automation,Theory Only,1,2,0,0,0,2
133,Discipline Elective,BCSE426P,Robotic Process Automation Lab,Lab Only,1,0,0,2,0,1
134,Discipline Elective,BCSE427L,Cognitive Robotics,Theory Only,1,2,0,0,0,2
135,Discipline Elective,BCSE427P,Cognitive Robotics Lab,Lab Only,1,0,0,2,0,1
136,Discipline Elective,BCSE428L,Autonomous Drones,Theory Only,1,2,0,0,0,2
137,Discipline Elective,BCSE428P,Autonomous Drones Lab,Lab Only,1,0,0,2,0,1
138,Discipline Elective,BCSE429L,Cyber Physical Systems Design,Theory Only,1,2,0,0,0,2
139,Discipline Elective,BCSE429P,Cyber Physical System Design Lab,Lab Only,1,0,0,2,0,1
140,Discipline Elective,BCSE430L,Distributed Real Time Systems,Theory Only,1,2,0,0,0,2
141,Discipline Elective,BCSE430P,Distributed Real Time Systems Lab,Lab Only,1,0,0,2,0,1
142,Discipline Elective,BCSE431L,Fundamentals of Quantum Computing,Theory Only,1,3,0,0,0,3
143,Discipline Elective,BCSE432E,Reinforcement Learning,Embedded Theory and Lab,1,3,0,2,0,4
144,Discipline Elective,BECM302E,Augmented and Virtual Reality,Embedded Theory and Lab,1,3,0,2,0,4
